file,width,height,overall,error,white_pass,white_pX,white_pctBelow,white_min,white_median,white_count,white_worst,black_pass,black_pX,black_pctBelow,black_min,black_median,black_count,black_worst
symbols\10110.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10111.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10112.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10113.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10114.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10115.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10116.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10117.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10118.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10119.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\1012.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10120.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10121.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10122.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10123.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10124.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10125.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10126.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10127.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10128.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10129.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\1013.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10130.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10132.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10133.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10134.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10135.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10136.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10137.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10138.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10139.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\1014.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10140.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10141.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10142.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10143.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10144.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10145.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10146.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10147.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10148.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10149.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\1015.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10150.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10151.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10152.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10153.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10155.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10156.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10157.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10158.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10159.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\1016.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10160.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10161.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10162.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10163.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10164.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10165.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10166.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10167.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10168.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10169.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\1017.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10170.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10171.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10172.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10173.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10174.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10175.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10176.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10177.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10178.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10179.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\1018.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
symbols\10180.wmf,,,,Error: ImageMagick not found (magick/convert) for EMF/WMF conversion,,,,,,,,,,,,,,
